video_id,title,category,publish_date,views,watch_time_seconds,likes,comments,shares,thumbnail_style
v001,Brave Cookie Chaos #1,education,2024-12-18,289962,41464566,3131,812,792,colorful
v002,Magic Kitten Mystery #2,entertainment,2024-11-14,2355492,223771740,76388,9842,30376,minimal
v003,Rainbow Kitten Heroes #3,education,2023-01-19,1061621,317424679,24133,5262,2871,cartoon
v004,Happy Kitchen Friends #4,entertainment,2023-09-12,1764999,375944787,56800,4216,29942,minimal
v005,Sleepy Ocean World #5,animation,2023-11-01,1841974,278138074,86502,4080,11676,colorful
v006,Sweet Crayon Daycare #6,education,2024-05-14,456920,179112640,13570,1361,6928,cartoon
v007,Tiny Princess Friends #7,animation,2023-09-10,1692731,599226774,58692,5692,31122,character_closeup
v008,Cool Ocean Builders #8,education,2023-05-10,1487585,458176180,28207,5683,11261,cartoon
v009,Sweet Sunflower Chaos #9,entertainment,2024-02-12,50426,20624234,1616,145,413,character_closeup
v010,Cosmic Cloud World #10,entertainment,2023-02-23,1750023,637008372,68527,7787,29739,colorful
v011,Rainbow Garden Daycare #11,animation,2023-11-15,2409887,978414122,84369,9283,30379,colorful
v012,Super Pirate Party #12,education,2024-04-10,1198644,237331512,51612,2899,9019,minimal
v013,Cosmic Bubble Dreams #13,education,2023-10-18,1392925,373303900,59606,5750,16044,colorful
v014,Sweet Garden Party #14,entertainment,2023-08-27,281314,18285410,8645,1216,3047,colorful
v015,Secret Unicorn Parade #15,education,2023-01-05,339048,71200080,12355,237,2279,colorful
v016,Golden Kitten Daycare #16,entertainment,2023-05-05,2256627,934243578,110436,10071,17006,character_closeup
v017,Funny Dragon Heroes #17,education,2023-11-19,1885011,213006243,62800,5107,31869,bright
v018,Secret Sunflower Builders #18,education,2024-06-15,2041726,351176872,43047,6555,33359,character_closeup
v019,Happy Dinosaur Friends #19,entertainment,2023-09-20,2094111,550751193,71402,1348,34589,minimal
v020,Funny Crayon Champions #20,entertainment,2024-09-02,2334037,693208989,114152,2051,22498,bright
v021,Sleepy Bubble Daycare #21,animation,2023-03-14,926348,63918012,43741,2201,7937,minimal
v022,Tiny Dragon Friends #22,education,2023-02-26,274328,60077832,6577,375,460,cartoon
v023,Fluffy Crayon Adventures #23,education,2024-06-18,399227,155299303,8425,799,2823,character_closeup
v024,Sparkly Space Daycare #24,animation,2024-12-07,2217824,796198816,75538,10356,31822,character_closeup
v025,Silly Robot Daycare #25,education,2023-06-04,125551,18707099,3739,336,1721,minimal
v026,Bouncy Dinosaur Champions #26,education,2024-08-19,846208,226783744,41429,3919,11033,character_closeup
v027,Wild Dragon Dreams #27,animation,2024-05-14,1777488,431929584,81696,2471,28648,bright
v028,Mystery Pirate World #28,education,2023-07-01,12856,1439872,167,35,235,bright
v029,Mystery Ocean Parade #29,animation,2023-08-06,787215,250334370,14745,3192,4603,cartoon
v030,Super Pirate Mystery #30,entertainment,2024-01-04,2388066,157612356,42101,9254,36387,minimal
v031,Bouncy Space Chaos #31,animation,2024-05-31,1718751,610156605,17921,5016,8930,character_closeup
v032,Super Cookie World #32,animation,2023-03-21,573098,39543762,7900,713,6550,cartoon
v033,Rainbow Pirate Daycare #33,education,2024-11-02,850810,134427980,20445,4051,15273,colorful
v034,Golden Cookie Builders #34,animation,2024-01-02,550884,129457740,9902,302,626,cartoon
v035,Tiny Castle Champions #35,animation,2023-02-28,561640,61218760,21135,2801,2659,minimal
v036,Silly Ocean Builders #36,entertainment,2023-06-10,2472321,459851706,105877,4812,6096,minimal
v037,Bouncy Space Champions #37,education,2024-07-23,2097919,331471202,87656,3154,33081,bright
v038,Brave Garden Mystery #38,animation,2023-09-28,2388179,501517590,118179,11395,15686,bright
v039,Silly Unicorn Adventures #39,entertainment,2024-05-03,493302,192881082,24486,1346,6803,character_closeup
v040,Fluffy Dragon Chaos #40,animation,2024-12-15,399784,154316624,12811,1657,3149,colorful
v041,Bouncy Pirate World #41,entertainment,2024-07-06,2420196,392071752,68017,3451,29306,colorful
v042,Little Cloud Adventures #42,education,2023-07-03,2101625,638894000,67607,8710,22355,character_closeup
v043,Rainbow Moon Builders #43,education,2023-09-16,1977563,656550916,22808,3965,5021,cartoon
v044,Magic Garden Sing-Along #44,education,2024-01-27,1169567,242100369,44243,3959,13012,cartoon
v045,Sparkly Cloud Friends #45,entertainment,2024-03-05,938695,244999395,13311,1840,2801,colorful
v046,Mystery Castle Daycare #46,animation,2023-02-13,1165944,216865584,54797,1910,9073,cartoon
v047,Sparkly Kitten Parade #47,animation,2023-10-05,2147610,749515890,75626,1822,27923,minimal
